BOROUGH,ADDRESS,ZIP,# of Tanks,INSPECTION_DATE,INTERNAL_STRUCTURE,EXTERNAL_STRUCTURE,SEDIMENT,BIOLOGICAL_GROWTH,DEBRIS_INSECTS,RODENT_BIRD,COLIFORM,ECOLI,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT
MANHATTAN,1 centre street,10007,1,4/26/22,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.713001,-74.004181,1,1,29
MANHATTAN,111 John St,10038,2,11/10/21,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.707671,-74.005764,1,1,1502
MANHATTAN,1 Centre street,10007,3,11/28/23,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.713001,-74.004181,1,1,29
MANHATTAN,31 Chambers street,10007,2,12/10/21,Violation,Violation,Violation,Violation,Violation,Violation,,,40.713402,-74.004635,1,1,31
BROOKLYN,190 Willoughby Street,11201,1,9/24/20,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.691958,-73.980152,2,35,31
MANHATTAN,31 Chambers street,10007,2,11/21/20,Violation,Violation,Violation,Violation,Violation,Violation,Meets standards,Meets standards,40.713402,-74.004635,1,1,31
MANHATTAN,70 East 108th Street,10029,1,10/6/20,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Violation,Meets standards,Meets standards,40.794429,-73.947434,11,8,17401
MANHATTAN,1 centre street,10007,7,4/26/22,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.713001,-74.004181,1,1,29
MANHATTAN,1 centre street,10007,5,4/26/22,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.713001,-74.004181,1,1,29
BROOKLYN,300 Jay Street,11201,1,4/26/22,Meets standards,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.695547,-73.98714,2,33,13
QUEENS,34-27 34th St,11106,1,1/1/21,,,,,,,Meets standards,Violation,40.758027,-73.925263,1,26,57
MANHATTAN,30 West 70th St,10023,1,3/16/22,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.77533,-73.977922,7,6,153
QUEENS,34-27 34th St,11106,1,1/1/21,Meets standards,,,Violation,Meets standards,Violation,Meets standards,Violation,40.758027,-73.925263,1,26,57
MANHATTAN,100 Centre street,10013,1,11/27/24,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.716084,-74.001425,1,1,29
BROOKLYN,18 Boerum St,11206,1,10/27/21,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.705321,-73.948954,1,34,491
BROOKLYN,345 Adams street,11201,3,12/5/24,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.6934,-73.988915,2,33,11
BROOKLYN,62 HANSON PLACE,11217,1,8/23/23,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Violation,Meets standards,40.685414,-73.975096,2,35,35
MANHATTAN,100 Centre Street,10013,3,5/6/22,Meets standards,Violation,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.716084,-74.001425,1,1,29
BROOKLYN,138 Willoughby Street,11201,5,6/14/21,Meets standards,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.692069,-73.983135,2,33,15
BROOKLYN,45 monroe place,11201,1,11/16/23,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.695822,-73.992802,2,33,502
BROOKLYN,210 Joralemon street,11201,2,11/1/23,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.692459,-73.990491,2,33,9
BROOKLYN,138 Willoughby Street,11201,4,6/14/21,Meets standards,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.692069,-73.983135,2,33,15
MANHATTAN,441 Ninth Ave,10001,2,11/2/21,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.753758,-73.996048,4,3,111
BROOKLYN,210 Joralemon street,11201,2,8/11/22,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.692459,-73.990491,2,33,9
BRONX,1560 Metropolitan Ave,10462,1,10/28/20,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.839754,-73.857904,9,18,21002
BRONX,265 East 161 street,10451,1,11/21/20,Violation,Violation,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.825928,-73.919514,4,16,18302
BROOKLYN,345 Adams Street,11201,3,11/28/20,Violation,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.6934,-73.988915,2,33,11
BRONX,265 east 161 street,10451,1,11/17/23,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.825928,-73.919514,4,16,18302
BROOKLYN,300 Jay Street,11201,2,5/13/22,Meets standards,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.695547,-73.98714,2,33,13
MANHATTAN,301 East 66th Street,10065,1,3/11/21,Meets standards,Meets standards,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.764846,-73.960789,8,5,118
MANHATTAN,382 Third Ave,10016,1,9/22/21,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.741641,-73.981112,6,2,68
STATEN ISLAND,35 hale street,10307,1,2/4/22,Meets standards,Meets standards,Meets standards,,Meets standards,,Violation,Violation,40.514811,-74.236572,3,51,248
MANHATTAN,100 Centre Street,10013,3,5/6/22,Meets standards,Violation,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.716084,-74.001425,1,1,29
BROOKLYN,62 HANSON PLACE,11217,1,8/23/23,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Violation,Meets standards,40.685414,-73.975096,2,35,35
MANHATTAN,145 West 44 Street,10036,2,12/16/20,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.756667,-73.984396,5,4,119
BROOKLYN,345 adams street,11201,1,11/28/21,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,,,40.6934,-73.988915,2,33,11
MANHATTAN,90 prince st,10012,1,9/29/21,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.72451,-73.998358,2,1,49
MANHATTAN,181 Convent Avenue,10031,2,12/27/24,Meets standards,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Violation,Meets standards,40.819574,-73.949921,9,9,21703
BRONX,1118 Grand Concourse,10456,1,11/21/21,Meets standards,Violation,Violation,Meets standards,Violation,Violation,,,40.832232,-73.919655,4,16,18102
MANHATTAN,31 Chambers street,10007,1,12/10/21,Violation,Violation,Violation,Violation,Violation,Violation,,,40.713402,-74.004635,1,1,31
MANHATTAN,160 Madison Street,10002,1,10/21/20,Meets standards,Meets standards,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.712488,-73.991924,3,1,6
MANHATTAN,310 East 46th Street,10017,1,10/7/20,Meets standards,Meets standards,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.752154,-73.969834,6,4,90
BROOKLYN,345 Adams street,11201,3,6/23/22,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.6934,-73.988915,2,33,11
MANHATTAN,60 centre street,10007,2,12/19/20,Violation,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.714467,-74.002503,1,1,29
BRONX,22 Metropolitan Oval,10462,1,10/26/20,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.838196,-73.85911,9,18,21002
MANHATTAN,100 centre street,10013,3,12/5/20,Meets standards,Violation,Meets standards,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.716084,-74.001425,1,1,29
MANHATTAN,100 Centre Street,10013,2,5/6/22,Meets standards,Violation,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.716084,-74.001425,1,1,29
MANHATTAN,100 Centre Street,10013,2,5/6/22,Meets standards,Violation,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.716084,-74.001425,1,1,29
MANHATTAN,111 John St,10038,1,4/4/22,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.707671,-74.005764,1,1,1502
MANHATTAN,305 East 40th Street,10016,1,4/29/21,Meets standards,Meets standards,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.748469,-73.972954,6,4,88
BROOKLYN,345 Adams street,11201,1,12/5/24,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.6934,-73.988915,2,33,11
BROOKLYN,345 adams street,11201,3,11/28/21,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.6934,-73.988915,2,33,11
BROOKLYN,210 Joralemon street,11201,1,8/11/22,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.692459,-73.990491,2,33,9
BROOKLYN,138 Willoughby Street,11201,4,6/20/22,Meets standards,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.692069,-73.983135,2,33,15
MANHATTAN,4 Sutton Place,10022,1,10/27/20,Meets standards,Meets standards,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.757512,-73.960576,6,5,10601
