BOROUGH,ADDRESS,ZIP,# of Tanks,INSPECTION_DATE,INTERNAL_STRUCTURE,EXTERNAL_STRUCTURE,SEDIMENT,BIOLOGICAL_GROWTH,DEBRIS_INSECTS,RODENT_BIRD,COLIFORM,ECOLI,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT
BROOKLYN,345 adams street,11201,1,11/28/21,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.6934,-73.988915,2,33,11
MANHATTAN,1 centre street,10007,2,4/26/22,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.713001,-74.004181,1,1,29
MANHATTAN,270 W 89th St,10024,1,10/12/21,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.790557,-73.975862,7,6,175
BRONX,1118 Grand Concourse,10456,1,11/21/21,Meets standards,Violation,Violation,Meets standards,Violation,Violation,Meets standards,Meets standards,40.832232,-73.919655,4,16,18102
MANHATTAN,1 Centre street,10007,3,11/20/24,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.713001,-74.004181,1,1,29
STATEN ISLAND,35 hale street,10307,1,2/4/22,Meets standards,Meets standards,Meets standards,,Meets standards,,Violation,Violation,40.514811,-74.236572,3,51,248
MANHATTAN,305 East 40th Street,10016,1,4/29/21,Meets standards,Meets standards,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.748469,-73.972954,6,4,88
BROOKLYN,345 adams street,11201,3,11/28/21,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,,,40.6934,-73.988915,2,33,11
BRONX,1118 grand concourse,10456,1,12/15/22,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.832232,-73.919655,4,16,18102
BROOKLYN,360 adams street,11201,1,12/12/21,Meets standards,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.694122,-73.988904,2,33,11
MANHATTAN,80 Centre street,10013,1,12/19/21,Violation,Violation,Violation,Violation,Meets standards,Meets standards,,,40.715447,-74.00189,1,1,29
MANHATTAN,812 Fifth Avenue,10065,1,4/26/21,Meets standards,Meets standards,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.766378,-73.971459,8,4,11401
MANHATTAN,111 John St,10038,2,4/4/22,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.707671,-74.005764,1,1,1502
BROOKLYN,138 Willoughby Street,11201,1,6/14/21,Meets standards,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.692069,-73.983135,2,33,15
MANHATTAN,969 Fifth Avenue,10075,1,8/31/20,Meets standards,Meets standards,Violation,Violation,Violation,Meets standards,Meets standards,Meets standards,40.776111,-73.963992,8,4,142
MANHATTAN,225 Broadway,10007,3,10/11/21,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.71187,-74.008217,1,1,21
MANHATTAN,720 Park Avenue,10021,1,6/23/21,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Violation,Meets standards,Meets standards,40.76995,-73.964681,8,4,130
MANHATTAN,125 worth street,10013,2,5/23/22,Violation,Meets standards,Violation,Violation,Violation,Meets standards,Meets standards,Meets standards,40.715428,-74.002673,1,1,31
MANHATTAN,225 Broadway,10007,4,10/11/21,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.71187,-74.008217,1,1,21
BROOKLYN,138 Willoughby Street,11201,1,6/20/22,Meets standards,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.692069,-73.983135,2,33,15
MANHATTAN,1 Centre street,10007,2,11/28/23,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.713001,-74.004181,1,1,29
MANHATTAN,111 John St,10038,1,11/10/21,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.707671,-74.005764,1,1,1502
MANHATTAN,108 West 39th St,10018,1,12/20/21,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.753173,-73.986075,5,4,113
BROOKLYN,210 Joralemon Street,11201,2,11/28/20,Violation,Violation,Violation,Meets standards,Violation,Violation,Meets standards,Meets standards,40.692459,-73.990491,2,33,9
MANHATTAN,60 centre street,10007,2,12/19/21,Violation,Meets standards,Violation,Meets standards,Violation,Meets standards,,,40.714467,-74.002503,1,1,29
BROOKLYN,45 monroe place,11201,1,10/26/24,Violation,Meets standards,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.695822,-73.992802,2,33,502
STATEN ISLAND,35 Hale Street,10307,1,1/1/20,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.514811,-74.236572,3,51,248
MANHATTAN,80 Centre street,10013,1,12/19/21,Violation,Violation,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.715447,-74.00189,1,1,29
MANHATTAN,4 Irving Place,10003,1,3/28/23,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.734163,-73.988627,6,2,50
BROOKLYN,345 Adams street,11201,2,12/5/24,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.6934,-73.988915,2,33,11
MANHATTAN,53 East 66th Street,10065,1,4/30/21,Meets standards,Meets standards,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.767746,-73.967668,8,4,122
MANHATTAN,145 West 44 Street,10036,2,12/16/20,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.756667,-73.984396,5,4,119
MANHATTAN,121 West 27th St,10001,1,7/11/22,Meets standards,Meets standards,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.745831,-73.991916,5,3,95
MANHATTAN,140 East 72nd Street,10021,1,3/31/21,Meets standards,Meets standards,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.770533,-73.962493,8,4,128
MANHATTAN,15 West 56th Street,10019,1,2/11/21,Meets standards,Meets standards,Violation,Meets standards,Violation,Violation,Meets standards,Meets standards,40.76264,-73.975258,5,4,11201
BROOKLYN,138 Willoughby Street,11201,2,6/14/21,Meets standards,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.692069,-73.983135,2,33,15
BROOKLYN,360 Adams street,11201,1,11/1/23,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.694122,-73.988904,2,33,11
MANHATTAN,150 William Street,10038,2,11/10/21,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.709729,-74.006255,1,1,1501
MANHATTAN,125 worth street,10013,1,12/10/21,Violation,Meets standards,Violation,Violation,Meets standards,Meets standards,,,40.715428,-74.002673,1,1,31
STATEN ISLAND,35 hale street,10307,1,2/4/22,Meets standards,Meets standards,Meets standards,,Meets standards,,Violation,Violation,40.514811,-74.236572,3,51,248
