,BOROUGH,ADDRESS,ZIP,TANK_NUM,INSPECTION_DATE,INTERNAL_STRUCTURE,EXTERNAL_STRUCTURE,SEDIMENT,BIOLOGICAL_GROWTH,DEBRIS_INSECTS,RODENT_BIRD,COLIFORM,ECOLI,MEET_STANDARDS,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT
6863,MANHATTAN,1700 Broadway,10019.0,1,2024-03-16 00:00:00,N,N,N,N,N,N,N,N,,40.763342,-73.982398,5.0,4.0,131.0
6864,MANHATTAN,317 East 34th Street,10016.0,1,2020-06-14 00:00:00,N,N,N,N,N,N,N,N,,40.744404,-73.974962,6.0,2.0,78.0
6866,BROOKLYN,49-57 Crown Street,11225.0,1,2022-11-14 00:00:00,N,N,N,N,N,N,N,N,,40.667286,-73.959905,9.0,35.0,213.0
6867,MANHATTAN,16 West 61 Street,10023.0,1,2024-05-19 00:00:00,N,N,N,N,N,N,N,N,,40.769921,-73.982559,7.0,3.0,145.0
6868,MANHATTAN,333 East 66th Street,10065.0,1,2023-04-12 00:00:00,N,N,N,N,N,N,N,N,,40.764618,-73.960247,8.0,5.0,118.0
6869,MANHATTAN,519 West 49th Street,10019.0,1,2023-10-24 00:00:00,N,N,N,N,N,N,N,N,,40.764581,-73.993466,4.0,3.0,129.0
6871,MANHATTAN,1945 Amsterdam Ave,10032.0,1,2024-02-29 00:00:00,N,N,N,N,N,N,N,N,,40.832498,-73.942294,12.0,7.0,239.0
6872,MANHATTAN,150 East 18th Street,10003.0,1,2021-10-14 00:00:00,N,N,N,N,N,N,N,N,,40.736199,-73.986353,6.0,2.0,50.0
6874,MANHATTAN,210 East 36th Street,10016.0,1,2021-12-16 00:00:00,N,N,N,N,N,N,N,N,,40.746759,-73.976628,6.0,4.0,78.0
6876,MANHATTAN,16 East 32nd Street,10016.0,1,2023-12-19 00:00:00,N,N,N,N,N,N,N,N,,40.746744,-73.98455,5.0,4.0,74.0
6878,MANHATTAN,117 WEST   70 STREET,10023.0,1,2020-10-28 00:00:00,N,N,N,N,N,N,N,N,Y,40.776376,-73.980355,7.0,6.0,157.0
6884,MANHATTAN,22 East 36th Street,10016.0,1,2021-07-01 00:00:00,N,N,N,N,N,N,N,N,,40.748945,-73.981799,6.0,4.0,82.0
6888,MANHATTAN,159 East 30th Street,10016.0,1,2022-10-13 00:00:00,N,N,N,N,N,N,N,N,,40.743601,-73.98087,6.0,2.0,72.0
6892,MANHATTAN,149 WEST   36 STREET,10018.0,1,2020-06-05 00:00:00,N,N,N,N,N,N,N,N,Y,40.751781,-73.988486,5.0,3.0,109.0
6893,MANHATTAN,255 WEST 84 STREET,10024.0,1,2021-11-15 00:00:00,N,N,N,N,N,N,N,N,,40.787261,-73.978066,7.0,6.0,171.0
6894,MANHATTAN,490 Riverside Drive,10027.0,1,2024-07-24 00:00:00,N,N,N,N,N,N,N,N,,40.812306,-73.963607,9.0,7.0,205.0
6896,MANHATTAN,37 WEST 72ND STREET,10023.0,1,2022-03-22 00:00:00,N,N,N,N,N,N,N,N,,40.777029,-73.977863,7.0,6.0,157.0
6901,MANHATTAN,31 West 12th Street,10011.0,1,2020-12-16 00:00:00,N,N,N,N,N,N,N,N,,40.735149,-73.995688,2.0,3.0,63.0
