BOROUGH,ADDRESS,ZIP,TANK_NUM,INSPECTION_DATE,INTERNAL_STRUCTURE,EXTERNAL_STRUCTURE,SEDIMENT,BIOLOGICAL_GROWTH,DEBRIS_INSECTS,RODENT_BIRD,COLIFORM,ECOLI,MEET_STANDARDS,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT
MANHATTAN,205 WEST 89 STREET,10024,2,8/4/20,N,N,N,N,N,N,N,N,,40.790022,-73.974551,7,6,175
BROOKLYN,2350 OCEAN AVENUE,11229,1,12/3/21,N,N,N,N,N,N,N,N,,40.604586,-73.952409,15,48,560
BROOKLYN,2839 West 33 Street,11224,1,4/23/24,N,N,N,N,N,N,N,N,,40.576306,-73.999849,13,47,328
MANHATTAN,626 Riverside Drive,10031,1,6/3/24,N,N,N,N,N,N,N,N,,40.823647,-73.954431,9,7,225
BROOKLYN,29 Fort Greene Place,11217,1,11/1/20,N,N,N,N,N,N,N,N,,40.688834,-73.976905,2,35,33
MANHATTAN,420 FIFTH AVENUE,10018,2,4/28/21,N,N,N,N,N,N,N,N,,40.750809,-73.982845,5,4,84
BRONX,89 Metropolitan Oval,10462,1,8/3/23,N,N,N,N,N,N,N,N,,40.838327,-73.860639,9,18,21602
BRONX,1225 Morris Park Avenue,10461,1,12/29/21,N,N,N,N,N,N,N,N,,40.851095,-73.847523,11,13,296
MANHATTAN,284 Mott Street,10012,1,9/8/21,N,N,N,N,N,N,N,N,,40.724159,-73.994404,2,1,43
MANHATTAN,225 West 106th Street,10025,2,12/14/21,N,N,N,N,N,N,N,N,,40.801119,-73.967298,7,7,195
MANHATTAN,237-245 WEST 35 STREET,10001,1,12/9/23,N,N,N,N,N,N,N,N,,40.752152,-73.991287,5,3,109
MANHATTAN,129 EAST 69 STREET,10021,1,8/23/23,N,N,N,N,N,N,N,N,,40.768591,-73.963841,8,4,120
BRONX,1925 McGraw Avenue,10462,1,6/4/24,N,N,N,N,N,N,N,N,,40.834627,-73.86086,9,18,212
MANHATTAN,129 WEST   22 STREET,10011,1,6/30/20,N,N,N,N,N,N,N,N,Y,40.742661,-73.99428,4,3,91
BRONX,400 BROOK AVE,10454,1,3/8/21,N,N,N,N,N,N,N,N,,40.811543,-73.916891,1,8,41
MANHATTAN,619 West 54 Street,10019,1,9/26/20,N,N,N,N,N,N,N,N,,40.768632,-73.993368,4,6,135
MANHATTAN,25 East 86th Street,10028,1,12/2/21,N,N,N,N,N,N,N,N,,40.781102,-73.959378,8,4,15002
MANHATTAN,39 Broadway,10006,2,4/27/24,N,N,N,N,N,N,N,N,,40.706251,-74.012952,1,1,13
MANHATTAN,147 West 22nd Street,10011,1,5/13/24,N,N,N,N,N,N,N,N,,40.742815,-73.994645,4,3,91
MANHATTAN,70 Park Avenue,10016,1,4/16/24,N,N,N,N,N,N,N,N,,40.74976,-73.979403,6,4,82
MANHATTAN,20 Monroe Street,10002,4,10/23/23,N,N,N,N,N,N,N,N,,40.711396,-73.996187,3,1,8
MANHATTAN,275 Madison Avenue,10016,1,11/16/24,N,N,N,N,N,N,N,N,,40.751261,-73.979868,6,4,82
MANHATTAN,1431 Broadway,10018,1,9/27/23,N,N,N,N,N,N,N,N,,40.754531,-73.987086,5,3,113
MANHATTAN,302 West 12th Street,10014,1,7/15/20,N,N,A,N,N,N,N,N,,40.737539,-74.004561,2,3,77
MANHATTAN,360 WEST 34 STREET,10001,1,10/8/20,N,N,N,N,N,N,N,N,,40.752877,-73.995113,4,3,103
MANHATTAN,45 East 25th Street,10010,1,11/20/24,N,N,N,N,N,N,N,N,,40.742007,-73.986705,5,2,56
MANHATTAN,650 West 168 Street,10032,2,10/9/24,N,N,N,N,N,N,N,N,,40.841635,-73.94109,12,10,251
MANHATTAN,311 Greenwich Street,10013,1,6/2/21,N,N,N,N,N,N,N,N,,40.716745,-74.010862,1,1,21
MANHATTAN,210 EAST 73RD STREET,10021,1,6/8/24,N,N,N,N,N,N,N,N,,40.770217,-73.959619,8,4,126
MANHATTAN,733 Park Ave,10021,1,8/23/22,N,N,N,N,N,N,N,N,,40.770325,-73.964381,8,4,128
MANHATTAN,250 VESEY STREET,10281,2,5/9/20,N,N,N,N,N,N,N,N,Y,40.714529,-74.015677,1,1,31703
BRONX,780 E 134 ST,10454,1,4/10/21,N,N,N,N,N,N,N,N,,40.801511,-73.912901,1,17,19
MANHATTAN,29 EAST 64 STREET,10065,1,9/22/20,N,N,N,N,N,N,N,N,,40.76663,-73.968899,8,4,122
MANHATTAN,166 EAST 61 STREET,10065,1,10/3/23,N,N,N,N,N,N,N,N,,40.763179,-73.96658,8,4,11402
MANHATTAN,80 Fifth Avenue,10011,1,7/25/20,N,N,N,N,N,N,N,N,,40.735807,-73.993772,2,3,63
MANHATTAN,77 Columbia Street,10002,2,11/17/22,N,N,N,N,N,N,N,N,,40.717619,-73.979961,3,2,2201
BRONX,950 Underhill Ave,10473,1,3/28/24,N,N,N,N,N,N,N,N,,40.824694,-73.860859,9,18,42
MANHATTAN,457 WEST   57 STREET,10019,1,8/5/20,N,N,N,N,N,N,N,N,Y,40.768585,-73.987271,4,3,139
MANHATTAN,3647 Broadway,10031,1,5/13/24,N,N,N,N,N,N,N,N,,40.829759,-73.948034,9,7,237
MANHATTAN,955 Fifth Avenue,10075,1,9/29/22,N,N,A,N,N,N,N,N,,40.775466,-73.96483,8,4,130
MANHATTAN,535 West 110 Street,10025,1,9/15/22,N,N,N,N,N,N,N,N,,40.803795,-73.965797,9,7,199
MANHATTAN,12 WEST 32ND STREET,10001,1,12/7/22,N,N,N,N,N,N,N,N,,40.747475,-73.986278,5,4,76
MANHATTAN,3 West 18th Street,10011,1,9/6/22,N,N,N,N,N,N,N,N,,40.738736,-73.992321,5,3,54
MANHATTAN,53 WEST 21ST STREET,10010,1,12/2/23,N,N,N,N,N,N,N,N,,40.740978,-73.992187,5,3,58
MANHATTAN,1166 Sixth Avenue,10036,5,2/13/21,N,N,N,N,N,N,N,N,,40.757004,-73.982526,5,4,96
MANHATTAN,865 West End Avenue,10025,1,8/7/24,N,N,N,N,N,N,N,N,,40.79927,-73.970293,7,6,191
MANHATTAN,435 East 77 Street,10075,1,7/2/21,N,N,N,N,N,N,N,N,,40.770659,-73.95276,8,5,132
MANHATTAN,1 ROCKEFELLER PLAZA,10020,1,11/10/23,N,N,N,N,N,N,N,N,,40.757904,-73.979288,5,4,96
MANHATTAN,360 EAST 88 STREET,10128,1,11/30/21,N,N,N,N,N,N,N,N,,40.778461,-73.949104,8,5,14602
MANHATTAN,7 LEXINGTON AVE,10010,1,8/19/22,N,N,N,N,N,N,N,N,,40.738634,-73.985367,6,2,68
MANHATTAN,111 BARROW STREET,10014,1,11/10/21,N,N,N,N,N,N,N,N,,40.731789,-74.007956,2,3,69
MANHATTAN,463 Seventh Avenue,10018,1,5/11/24,N,N,N,N,N,N,N,N,,40.751749,-73.990057,5,3,109
QUEENS,42-12 28th street,11101,1,5/5/21,N,N,N,N,N,N,N,N,,40.749628,-73.939175,2,26,19
MANHATTAN,150 West 28 Street,10001,1,7/13/24,N,N,N,N,N,N,N,N,,40.746638,-73.991963,5,3,95
MANHATTAN,150 West 87th Street,10024,1,8/29/24,N,N,N,N,N,N,N,N,,40.787762,-73.973129,7,6,173
MANHATTAN,330 Lafayette Street,10012,1,11/3/22,N,N,N,N,N,N,N,N,,40.725682,-73.994862,2,1,5502
MANHATTAN,340 East 93rd Street,10128,1,11/2/23,N,N,N,N,N,N,N,N,,40.781501,-73.946592,8,5,154
BROOKLYN,2630 CROPSEY AVENUE,11214,1,6/26/20,N,N,N,N,N,N,N,N,Y,40.589563,-73.990887,13,43,314
MANHATTAN,131 EAST 69 STREET,10021,1,5/22/24,N,N,N,N,N,N,N,N,,40.768393,-73.963371,8,4,120
MANHATTAN,142 WEST 57 STREET,10019,1,11/1/23,N,N,N,N,N,N,N,N,,40.765131,-73.979145,5,4,137
MANHATTAN,138 East 38th Street,10016,1,6/6/24,N,N,N,N,N,N,N,N,,40.748846,-73.977728,6,4,80
MANHATTAN,902 Broadway,10010,1,5/15/21,N,N,N,N,N,N,N,N,,40.739279,-73.989726,5,2,52
MANHATTAN,253 WEST   72 STREET,10023,1,11/12/20,N,N,N,N,N,N,N,N,Y,40.77933,-73.983311,7,6,159
MANHATTAN,500 WEST 43 STREET,10036,1,10/5/21,N,N,N,N,N,N,N,N,,40.76034,-73.995094,4,3,129
MANHATTAN,330 MADISON AVENUE,10017,1,9/30/23,N,N,N,N,N,N,N,N,,40.753383,-73.978871,5,4,94
MANHATTAN,1088 PARK AVENUE,10128,1,8/17/21,N,N,N,N,N,N,N,N,,40.781872,-73.955976,8,4,15002
MANHATTAN,1140 FIFTH AVENUE,10128,1,7/14/21,N,N,N,N,N,N,N,N,,40.787205,-73.95594,8,4,16001
MANHATTAN,635 WEST 42 STREET,10036,1,12/4/24,N,N,N,N,N,N,N,N,,40.761463,-73.999816,4,3,129
MANHATTAN,244 West 54 Stree,10019,1,6/20/20,N,N,N,N,N,N,N,N,,40.764261,-73.983037,5,3,131
MANHATTAN,484 West 43rd Street,10036,3,2/9/22,N,N,N,N,N,N,N,N,,40.76009,-73.994502,4,3,121
MANHATTAN,1025 Fifth Avenue,10028,1,8/18/20,N,N,A,N,N,N,N,N,,40.77995,-73.96156,8,4,142
BROOKLYN,1 Dock 72 Way,11251,4,1/30/24,N,N,N,N,N,N,N,N,,40.699809,-73.972176,2,33,543
MANHATTAN,101 PARK AVENUE,10178,3,7/21/23,N,N,N,N,N,N,N,N,,40.750992,-73.978485,5,4,80
MANHATTAN,220 EAST   42 STREET,10017,2,10/17/20,N,N,N,N,N,N,N,N,Y,40.750256,-73.973256,6,4,88
MANHATTAN,333 Hudson Street,10013,1,12/30/22,N,N,N,N,N,N,N,N,,40.72703,-74.007378,2,3,37
MANHATTAN,45 FAIRVIEW AVENUE,10040,1,6/16/20,N,N,N,N,N,N,N,N,Y,40.857413,-73.929432,12,10,283
MANHATTAN,1166 Sixth Avenue,10036,6,2/20/21,N,N,N,N,N,N,N,N,,40.757004,-73.982526,5,4,96
MANHATTAN,66 Madison Avenue,10016,2,10/18/21,N,N,N,N,N,N,N,N,,40.743596,-73.986009,5,2,56
MANHATTAN,601 Lexington Ave,10022,2,12/13/24,N,N,N,N,N,N,N,N,,40.758465,-73.970914,6,4,100
MANHATTAN,20 East 35th Street,10016,1,12/13/24,N,N,N,N,N,N,N,N,,40.748328,-73.982247,6,2,74
MANHATTAN,16 PARK AVENUE,10016,1,2/18/20,N,N,N,N,N,N,N,N,Y,40.747696,-73.981208,6,2,74
MANHATTAN,506 Lenox Avenue,10037,2,7/16/23,N,N,N,N,N,N,N,N,,40.814358,-73.940659,10,9,212
MANHATTAN,182 East 95th Street,10128,1,10/19/23,N,N,N,N,N,N,N,N,,40.784763,-73.950431,8,5,15801
BROOKLYN,580 Flatbush Avenue,11225,1,8/31/21,N,N,N,N,N,N,N,N,,40.659576,-73.960577,9,40,79802
MANHATTAN,10 WEST 18TH STREET,10011,1,12/10/22,N,N,N,N,N,N,N,N,,40.73878,-73.992473,5,3,54
MANHATTAN,301 East 75th Street,10021,1,11/6/23,N,N,N,N,N,N,N,N,,40.770611,-73.956579,8,5,134
MANHATTAN,693 Fifth Avenue,10022,1,2/12/22,N,N,N,N,N,N,N,N,,40.761257,-73.975204,5,4,102
MANHATTAN,166 EAST 63 STREET,10065,1,9/12/24,N,N,N,N,N,N,N,N,,40.764394,-73.965579,8,4,11402
MANHATTAN,1 West 85 Street,10024,1,11/14/23,N,N,N,N,N,N,N,N,,40.784797,-73.970256,7,6,169
QUEENS,172-90 Highland Avenue,11432,1,4/5/23,N,N,N,N,N,N,N,N,,40.713561,-73.787962,8,24,466
MANHATTAN,451 Tenth Avenue,10018,2,6/27/23,N,N,N,N,N,N,N,N,,40.755347,-73.998603,4,3,99
BROOKLYN,32 Court Street,11201,4,6/8/24,N,N,N,N,N,N,N,N,,40.693014,-73.990758,2,33,9
MANHATTAN,45 WEST 25TH STREET,10010,1,1/24/24,N,N,N,N,N,N,N,N,,40.743556,-73.990364,5,3,58
MANHATTAN,451 Park Avenue South,10016,1,12/17/22,N,N,N,N,N,N,N,N,,40.744867,-73.982941,5,2,72
MANHATTAN,320 EAST   57 STREET,10022,1,10/14/20,N,N,N,N,N,N,N,N,Y,40.75902,-73.964625,6,5,108
BROOKLYN,27 Prospect Park West,11215,1,10/7/22,N,N,N,N,N,N,N,N,,40.670728,-73.971752,6,39,165
MANHATTAN,641 Lexington Avenue,10022,1,7/10/21,N,N,N,N,N,N,N,N,,40.75903,-73.970321,6,4,100
MANHATTAN,1201 BROADWAY,10001,1,10/10/20,N,N,N,N,N,N,N,N,Y,40.745869,-73.988635,5,3,76
MANHATTAN,260 WEST 54TH ST,10019,1,11/14/24,N,N,N,N,N,N,N,N,,40.764382,-73.983326,5,3,131
MANHATTAN,600 West 113th Street,10025,1,12/27/22,N,N,N,N,N,N,N,N,,40.806202,-73.965619,9,7,199
MANHATTAN,800 PARK AVENUE,10021,2,6/14/23,N,N,N,N,N,N,N,N,,40.772617,-73.962734,8,4,130
MANHATTAN,179 Bennett Avenue,10040,1,3/4/22,N,N,N,N,N,N,N,N,,40.856285,-73.933948,12,10,279
MANHATTAN,8 West 19th Street,10011,1,9/18/24,N,N,N,N,N,N,N,N,,40.739343,-73.992003,5,3,54
MANHATTAN,2100-2110 1st Ave,10029,1,12/9/20,N,N,N,N,N,N,N,N,,40.791191,-73.93891,11,8,162
MANHATTAN,145 West 28 Street,10001,1,9/28/24,N,N,N,N,N,N,N,N,,40.746602,-73.991829,5,3,95
MANHATTAN,45 WEST 132 STREET,10037,1,10/7/20,N,N,N,N,N,N,N,N,,40.811476,-73.940481,10,9,212
QUEENS,46-15 Center Boulevard,11109,1,6/13/23,N,N,N,N,N,N,N,N,,40.747239,-73.956378,2,26,1
BRONX,735 KAPPOCK STREET,10463,1,6/8/20,N,N,N,N,N,N,N,N,Y,40.881931,-73.919747,8,11,301
MANHATTAN,7 West 18th Street,10011,1,3/2/24,N,N,N,N,N,N,N,N,,40.738774,-73.992415,5,3,54
MANHATTAN,695 Park Ave,10065,3,12/15/23,N,N,N,N,N,N,N,N,,40.768973,-73.965367,8,4,120
MANHATTAN,2 United Nations Plaza,10017,2,10/14/21,N,N,N,N,N,N,N,N,,40.750634,-73.970105,6,4,90
MANHATTAN,211 EAST 79 STREET,10075,1,9/6/22,N,N,N,N,N,N,N,N,,40.77408,-73.956794,8,5,138
MANHATTAN,45 WEST 25TH STREET,10010,1,5/25/22,N,N,N,N,N,N,N,N,,40.743556,-73.990364,5,3,58
MANHATTAN,333 East 14th Street,10003,1,7/28/21,N,N,N,N,N,N,N,N,,40.731722,-73.983424,6,2,48
